geometry,event_uniq,crime_type,objectid,district,occurren_4,crimestopp,divisional,datecon
POINT (-79.522533939 43.590800049),GO-2016968368,Assault,1,d22,16,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d22/,
POINT (-79.524587999 43.595523046),GO-2016965847,Assault,2,d22,11,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d22/,
POINT (-79.522842388 43.597824401),GO-2016939003,Assault,3,d22,1,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d22/,
POINT (-79.543751518 43.598382373),GO-2016945338,Assault,4,d22,21,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d22/,
POINT (-79.489786847 43.612730699),GO-2016977777,Assault,5,d22,18,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d22/,
POINT (-79.497133678 43.613091022),GO-2016934751,Assault,6,d22,13,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d22/,
POINT (-79.504244033 43.614596228),GO-2016974258,Assault,7,d22,3,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d22/,
POINT (-79.540867477 43.617740447),GO-2016954010,Assault,8,d22,0,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d22/,
POINT (-79.576059188 43.630465019),GO-2016978916,Assault,9,d22,22,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d22/,
POINT (-79.492072052 43.633033388),GO-2016943627,Assault,10,d22,14,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d22/,
POINT (-79.434781562 43.633952254),GO-2016939615,Assault,11,d14,6,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d14/,
POINT (-79.403289783 43.635736817),GO-2016931709,Assault,12,d14,1,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d14/,
POINT (-79.437274342 43.636926042),GO-2016931708,Assault,13,d14,1,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d14/,
POINT (-79.426654855 43.637074252),GO-2016935485,Assault,14,d14,15,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d14/,
POINT (-79.439165498 43.638211933),GO-2016942113,Assault,15,d14,13,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d14/,
POINT (-79.433283399 43.637743309),GO-2016963594,Assault,16,d14,20,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d14/,
POINT (-79.383346686 43.640671524),GO-2016968107,Assault,17,d52,5,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d52/,
POINT (-79.52906225 43.640926891),GO-2016953172,Assault,18,d22,1,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d22/,
POINT (-79.417244386 43.640991618),GO-2016941498,Assault,19,d14,12,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d14/,
POINT (-79.391904424 43.641644252),GO-2016979006,Assault,20,d52,22,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d52/,
POINT (-79.397586673 43.641769202),GO-2016976648,Assault,21,d14,2,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d14/,
POINT (-79.398247239 43.643300637),GO-2016955316,Assault,22,d14,14,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d14/,
POINT (-79.393690503 43.642171107),GO-2016938998,Assault,23,d52,0,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d52/,
POINT (-79.391285682 43.643421237),GO-2016974165,Assault,24,d52,2,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d52/,
