geometry,event_uniq,crime_type,objectid,district,occurren_4,crimestopp,divisional,datecon
POINT (-79.484483036 43.649330369),GO-2016874234,Auto Theft,1,d11,21,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d11/,
POINT (-79.496267803 43.66013653),GO-2016873429,Auto Theft,2,d11,20,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d11/,
POINT (-79.45207135 43.667778285),GO-2016863745,Auto Theft,3,d11,0,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d11/,
POINT (-79.504218431 43.68438156),GO-2016880794,Auto Theft,4,d12,21,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d12/,
POINT (-79.509136891 43.693267065),GO-2016847326,Auto Theft,5,d12,9,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d12/,
POINT (-79.507295215 43.695475653),GO-2016839784,Auto Theft,6,d12,3,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d12/,
POINT (-79.506698253 43.701558424),GO-2016847430,Auto Theft,7,d12,21,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d12/,
POINT (-79.437140982 43.673974243),GO-2016889107,Auto Theft,8,d13,12,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d13/,
POINT (-79.430983499 43.674722702),GO-2016865458,Auto Theft,9,d13,14,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d13/,
POINT (-79.413394288 43.684163501),GO-2016847478,Auto Theft,10,d13,10,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d13/,
POINT (-79.399722814 43.63495279),GO-2016875784,Auto Theft,11,d14,15,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d14/,
POINT (-79.437869799 43.638471123),GO-2016882678,Auto Theft,12,d14,23,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d14/,
POINT (-79.42178183 43.651977051),GO-2016879033,Auto Theft,13,d14,0,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d14/,
POINT (-79.437438262 43.664715349),GO-2016859755,Auto Theft,14,d14,19,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d14/,
POINT (-79.409484891 43.671729747),GO-2016853012,Auto Theft,15,d14,7,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d14/,
POINT (-79.409484891 43.671729747),GO-2016853012,Auto Theft,16,d14,7,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d14/,
POINT (-79.530705719 43.590902847),GO-2016886949,Auto Theft,17,d22,0,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d22/,
POINT (-79.545593059 43.63328607),GO-2016846017,Auto Theft,18,d22,20,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d22/,
POINT (-79.551319744 43.63527872),GO-2016846299,Auto Theft,19,d22,22,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d22/,
POINT (-79.567229736 43.634450168),GO-2016852981,Auto Theft,20,d22,22,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d22/,
POINT (-79.566287286 43.64829125),GO-2016859537,Auto Theft,21,d22,1,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d22/,
POINT (-79.571385892 43.67367794),GO-2016884688,Auto Theft,22,d23,22,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d23/,
POINT (-79.511457502 43.683962091),GO-2016873604,Auto Theft,23,d23,0,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d23/,
POINT (-79.587304702 43.689516378),GO-2016879608,Auto Theft,24,d23,0,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d23/,
POINT (-79.578244876 43.707545828),GO-2016876586,Auto Theft,25,d23,18,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d23/,
POINT (-79.59983133 43.717921302),GO-2016872081,Auto Theft,26,d23,18,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d23/,
POINT (-79.59983133 43.717921302),GO-2016876971,Auto Theft,27,d23,13,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d23/,
POINT (-79.556433097 43.73115484),GO-2016839634,Auto Theft,28,d23,0,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d23/,
POINT (-79.613346113 43.732176443),GO-2016839757,Auto Theft,29,d23,4,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d23/,
POINT (-79.574369751 43.733603585),GO-2016847296,Auto Theft,30,d23,23,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d23/,
POINT (-79.518372969 43.716849198),GO-2016887008,Auto Theft,31,d31,22,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d31/,
POINT (-79.538228852 43.733746804),GO-2016845974,Auto Theft,32,d31,20,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d31/,
POINT (-79.536030832 43.73342517),GO-2016846901,Auto Theft,33,d31,22,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d31/,
POINT (-79.5403767 43.737752666),GO-2016846203,Auto Theft,34,d31,22,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d31/,
POINT (-79.492417414 43.742562514),GO-2016891672,Auto Theft,35,d31,22,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d31/,
POINT (-79.564415677 43.747310482),GO-2016866953,Auto Theft,36,d31,17,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d31/,
POINT (-79.55871771 43.754397244),GO-2016874554,Auto Theft,37,d31,9,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d31/,
POINT (-79.55871771 43.754397244),GO-2016874554,Auto Theft,38,d31,9,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d31/,
POINT (-79.517074886 43.754854238),GO-2016849711,Auto Theft,39,d31,16,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d31/,
POINT (-79.579867736 43.755947523),GO-2016845755,Auto Theft,40,d31,20,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d31/,
POINT (-79.489221793 43.756358133),GO-2016864100,Auto Theft,41,d31,18,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d31/,
POINT (-79.501388671 43.76551602),GO-2016886612,Auto Theft,42,d31,22,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d31/,
