geometry,event_uniq,occurrence,district,divisional,near_x,x_coordina,orig_fid,crimestopp,y_coordina,near_y,near_dist,event_un_1,y,x,near_fid,objectid
POINT (-79.332120364 43.7763925461),GO-20162005,2016-01-01T00:00:00.000Z,d33,http://www.torontopolice.on.ca/d33/,-79.3321203643,634208,0,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4848429,43.7763925458,0.000356085788502,2005,43.7767,-79.3323,6550,1
POINT (-79.3710320738 43.6582946964),GO-20163248,2016-01-01T00:00:00.000Z,d51,http://www.torontopolice.on.ca/d51/,-79.3710320739,631344,1,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4835099,43.6582946963,0.000997012839336,3248,43.6573,-79.3711,4160,2
POINT (-79.1954330456 43.784830258),GO-201620147,2016-01-04T00:00:00.000Z,d43,http://www.torontopolice.on.ca/d43/,-79.1954330457,645128,2,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4849665,43.7848302577,0.00130077279137,20147,43.7858,-79.1963,1485,3
POINT (-79.516503442 43.7627692353),GO-201620968,2016-01-04T00:00:00.000Z,d31,http://www.torontopolice.on.ca/d31/,-79.5165034418,619336,3,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4846785,43.7627692351,0.00194919565826,20968,43.7645,-79.5174,13336,4
POINT (-79.2917983193 43.6912188316),GO-201620700,2016-01-04T00:00:00.000Z,d54,http://www.torontopolice.on.ca/d54/,-79.2917983194,637676,4,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4838966,43.6912188318,0.000375478763624,20700,43.6909,-79.2916,9074,5
POINT (-79.2446084877 43.7424828331),GO-201628219,2016-01-05T00:00:00.000Z,d43,http://www.torontopolice.on.ca/d43/,-79.244608488,641311,5,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4844679,43.7424828328,0.000924343684158,28219,43.7417,-79.2451,413,6
POINT (-79.5662208821 43.7373937189),GO-201632318,2016-01-06T00:00:00.000Z,d23,http://www.torontopolice.on.ca/d23/,-79.5662208817,615435,6,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4843566,43.7373937191,0.001323486303,32318,43.7361,-79.5665,12217,7
POINT (-79.4406725927 43.7278285647),GO-201631190,2016-01-06T00:00:00.000Z,d32,http://www.torontopolice.on.ca/d32/,-79.4406725927,625592,7,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4842940,43.7278285651,0.00107389128157,31190,43.7289,-79.4406,14581,8
POINT (-79.5928458733 43.7086449589),GO-201635133,2016-01-07T00:00:00.000Z,d23,http://www.torontopolice.on.ca/d23/,-79.5928458733,613357,8,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4840555,43.7086449592,0.000770611234151,35133,43.7094,-79.593,11682,9
POINT (-79.5114575025 43.6839620914),GO-201640653,2016-01-07T00:00:00.000Z,d23,http://www.torontopolice.on.ca/d23/,-79.5114575024,619876,9,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4837797,43.6839620913,0.00132564270738,40653,43.6835,-79.5127,13414,10
POINT (-79.2519371071 43.752525888),GO-201644796,2016-01-08T00:00:00.000Z,d43,http://www.torontopolice.on.ca/d43/,-79.2519371067,640772,10,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4845848,43.7525258878,0.000582673948668,44796,43.7523,-79.2514,239,11
POINT (-79.4942433049 43.7431062009),GO-201693962,2016-01-13T00:00:00.000Z,d31,http://www.torontopolice.on.ca/d31/,-79.4942433049,621206,11,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4844299,43.7431062008,0.00138373798262,93962,43.7418,-79.4947,13719,12
POINT (-79.502916703 43.7399419084),GO-201673594,2016-01-13T00:00:00.000Z,d31,http://www.torontopolice.on.ca/d31/,-79.5029167034,620506,12,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4844017,43.7399419081,0.000796177926321,73594,43.7394,-79.5035,13557,13
POINT (-79.4439096025 43.7194858068),GO-201677617,2016-01-13T00:00:00.000Z,d32,http://www.torontopolice.on.ca/d32/,-79.4439096027,625366,13,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4841942,43.7194858067,0.000517116924722,77617,43.7199,-79.4436,14489,14
POINT (-79.4473094689 43.7235478799),GO-201675545,2016-01-13T00:00:00.000Z,d32,http://www.torontopolice.on.ca/d32/,-79.4473094691,625014,14,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4842356,43.7235478798,0.000609809193801,75545,43.7237,-79.4479,14393,15
