geometry,event_uniq,crime_type,objectid,district,occurren_4,crimestopp,divisional,datecon
POINT (-79.428081582 43.671952758),GO-2016873426,Theft Over,1,d13,6,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d13/,
POINT (-79.406649598 43.663889037),GO-2016872216,Theft Over,2,d14,22,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d14/,
POINT (-79.578244876 43.707545828),GO-2016880404,Theft Over,3,d23,1,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d23/,
POINT (-79.581117615 43.713844916),GO-2016860875,Theft Over,4,d23,17,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d23/,
POINT (-79.618221963 43.733553119),GO-2016884281,Theft Over,5,d23,22,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d23/,
POINT (-79.544674635 43.76169874),GO-2016873370,Theft Over,6,d31,3,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d31/,
POINT (-79.406251639 43.741858243),GO-2016879827,Theft Over,7,d32,3,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d32/,
POINT (-79.431816368 43.746503244),GO-2016877150,Theft Over,8,d32,14,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d32/,
POINT (-79.412998542 43.755738105),GO-2016862219,Theft Over,9,d32,14,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d32/,
POINT (-79.414984329 43.785788588),GO-2016887006,Theft Over,10,d32,12,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d32/,
POINT (-79.345729173 43.732111441),GO-2016882190,Theft Over,11,d33,14,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d33/,
POINT (-79.296127081 43.715620526),GO-2016882436,Theft Over,12,d41,15,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d41/,
POINT (-79.251020568 43.833451834),GO-2016842781,Theft Over,13,d42,16,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d42/,
POINT (-79.237892637 43.780928698),GO-2016886153,Theft Over,14,d43,19,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d43/,
POINT (-79.377918325 43.649148742),GO-2016882632,Theft Over,15,d51,8,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d51/,
POINT (-79.380049948 43.639596948),GO-2016869145,Theft Over,16,d52,12,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d52/,
POINT (-79.400839076 43.707760338),GO-2016888063,Theft Over,17,d53,22,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d53/,
POINT (-79.356316613 43.71184551),GO-2016862000,Theft Over,18,d53,13,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d53/,
POINT (-79.366178507 43.717041985),GO-2016859758,Theft Over,19,d53,18,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d53/,
